Floor 1,1,7c:0e:ce:a0:81:cf,-42
Floor 1,1,7c:0e:ce:a0:81:c0,-46
Floor 1,1,7c:0e:ce:a0:81:ce,-42
Floor 1,1,7c:0e:ce:a0:81:c1,-51
Floor 1,1,7c:0e:ce:a0:81:c2,-51
Floor 1,1,7c:0e:ce:a0:81:cd,-43
Floor 1,1,7c:0e:ce:a0:81:c5,-51
Floor 1,1,7c:0e:ce:a0:81:ca,-43
Floor 1,2,7c:0e:ce:cd:35:ce,-47
Floor 1,2,7c:0e:ce:cd:35:cb,-47
Floor 1,2,7c:0e:ce:cd:35:c4,-58
Floor 1,2,7c:0e:ce:cd:35:c1,-58
Floor 1,2,7c:0e:ce:cd:35:cf,-48
Floor 1,2,7c:0e:ce:cd:35:c0,-59
Floor 1,2,7c:0e:ce:cd:35:cc,-48
Floor 1,2,7c:0e:ce:cd:35:c3,-58
Floor 1,2,7c:0e:ce:cd:35:cd,-48
Floor 1,2,7c:0e:ce:cd:35:c2,-59
Floor 1,3,7c:0e:ce:b7:6b:00,-60
Floor 1,3,7c:0e:ce:b7:6b:01,-58
Floor 1,3,7c:0e:ce:b7:6b:03,-59
Floor 1,3,7c:0e:ce:b7:6b:02,-57
Floor 1,3,7c:0e:ce:b7:6b:04,-57
Floor 1,3,7c:0e:ce:b7:6b:05,-54
Floor 1,4,18:80:90:a8:6d:c4,-46
Floor 1,4,18:80:90:a8:6d:cb,-51
Floor 1,4,18:80:90:a8:6d:c3,-46
Floor 1,4,18:80:90:a8:6d:cc,-51
Floor 1,4,18:80:90:a8:6d:c5,-46
Floor 1,4,18:80:90:a8:6d:ca,-51
Floor 1,4,18:80:90:a8:6d:c0,-47
Floor 1,4,18:80:90:a8:6d:cf,-51
Floor 1,4,18:80:90:a8:6d:c1,-47
Floor 1,4,18:80:90:a8:6d:ce,-51
Floor 1,4,18:80:90:a8:6d:c2,-47
Floor 1,4,18:80:90:a8:6d:cd,-51
Floor 1,5,18:80:90:a2:92:82,-67
Floor 1,5,18:80:90:a2:92:80,-68
Floor 1,5,18:80:90:a2:92:84,-68
Floor 1,5,18:80:90:a2:92:83,-68
Floor 1,5,18:80:90:a2:92:81,-68
Floor 1,5,18:80:90:a2:92:85,-68
Floor 1,6,ce:46:d6:e1:ff:43,60
Floor 1,6,ce:46:d6:e1:ff:42,59
Floor 1,6,ce:46:d6:e1:ff:40,60
Floor 1,6,ce:46:d6:a4:ca:e1,59
Floor 1,6,ce:46:d6:a4:ca:e2,60
Floor 1,6,ce:46:d6:a4:ca:e4,58
Floor 1,7,cc:46:d6:b6:22:cf,-56
Floor 1,7,cc:46:d6:b6:22:cc,-58
Floor 1,7,cc:46:d6:b6:22:cd,-56
Floor 1,7,40:01:7a:3d:48:c2,-58
Floor 1,7,40:01:7a:3d:48:cd,-59
Floor 1,7,40:01:7a:3d:48:c1,-57
Floor 1,7,40:01:7a:3d:48:ce,-59
Floor 1,7,40:01:7a:3d:48:c3,-57
Floor 1,7,40:01:7a:3d:48:cb,-57
Floor 1,7,40:01:7a:3d:48:c4,-60
Floor 1,7,40:01:7a:3d:48:c0,-54